Формулировка на естественном языке (русский),Формулировка на естественном языке (английский),Запись на формальном языке,Код Lean 4 + Mathlib,Ключевые слова (русский / английский),Тип утверждения,Источник
"Если характеристика χ относится к ненулевому типу, то A∗= ⟨x0⟩∗⊂N, x∗= x0. В этом случае группа A∗изоморфна группе Rχ = = ⟨1⟩∗⊂Zχ. Если характеристика χ = (mp) относится к нулевому типу, то она определяет целое число m = p pmp.","if характеристика χ относится к ненулевому типу, then A∗= ⟨x0⟩∗⊂N, x∗= x0. В этом случае group A∗is isomorphic group Rχ = = ⟨1⟩∗⊂Zχ. if характеристика χ = (mp) относится к нулевому типу, then она определяет целое число m = p pmp.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0001 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",группа; изоморфизм,ISOMORPH,elibrary_11162670_72358071.txt
"Можно дать эквивалентное определение этого умножения. Поскольку Q(σ) = K/Iσ и Q(τ) = K/Iτ по свойству 13 τ-адических чисел, то элементы представляются в виде α = α1 +Iσ, β = β1 +Iτ, где α1, β1 ∈K — универсальные числа. При условии, что type(α) ⩾σ −σ ∧τ, это умножение правильно определено.","Можно дать эквивалентное Definition этого умножения. Поскольку Q(σ) = K/Iσ и Q(τ) = K/Iτ по свойству 13 τ-адических чисел, then элементы представляются в виде α = α1 +Iσ, β = β1 +Iτ, где α1, β1 ∈K — универсальные числа. При условии, что type(α) ⩾σ −σ ∧τ, это умножение правильно определено.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0002 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",свойство,ISOMORPH,elibrary_11162670_72358071.txt
"Сначала мы заменим каждый тип τi на характеристику χi ∈τi. Фомин матрицы A на ненулевое рациональное число является изоморфизмом категории M, то мы можем без потери общности считать, что каждый элемент матрицы A имеет вид α′ ij = 1⊗αij, где элементы αij ∈Zχi являются представителями τi-адических чисел. Различный выбор представителей приводит, вообще говоря, к различным парам групп, факторно делимой и без кручения конечного ранга, но эти различия не выходят за рамки квазиравенства.","Сначала мы заменим каждый тип τi на характеристику χi ∈τi. Фомин матрицы A на ненулевое рациональное число is изоморфизмом категории M, then мы можем без потери общности считать, что каждый элемент матрицы A has вид α′ ij = 1⊗αij, где элементы αij ∈Zχi являются представителями τi-адических чисел. Различный выбор представителей приводит, вообще говоря, к различным парам групп, факторно делимой и без кручения конечного ранга, но эти различия не выходят за рамки квазиравенства.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0003 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",группа; изоморфизм,ISOMORPH,elibrary_11162670_72358071.txt
"Эквивалентности и двойственности Напомним, что категории A и B называются эквивалентными (двойственными), если существуют ковариантные (контравариантные) функторы f : A →B и f ′ : B →A, такие что ff ′ ∼idB и f ′f ∼idA. Запись f ′f ∼idA означает, что для любого объекта A категории A существует изоморфизм gA : A →f ′ f(A) , такой что для любого морфизма h: A →B категории A следующая диаграмма коммутативна: A h −−−−→ B gA  gB f ′ f(A) −−−−−→ f ′(f(h)) f ′ f(B) . (4.1) 4.1. Категории M и RM Обозначим через Mat Q множество всех прямоугольных матриц произвольных размеров с рациональными элементами.","Эквивалентности и двойственности Напомним, что категории A и B называются эквивалентными (двойственными), if существуют ковариантные (контравариантные) функторы f : A →B и f ′ : B →A, такие что ff ′ ∼idB и f ′f ∼idA. Запись f ′f ∼idA означает, что for every объекта A категории A there exists isomorphism gA : A →f ′ f(A) , такой что for every морфизма h: A →B категории A следующая диаграмма коммутативна: A h −−−−→ B gA  gB f ′ f(A) −−−−−→ f ′(f(h)) f ′ f(B) . (4.1) 4.1. Категории M и RM Обозначим через Mat Q множество всех прямоугольных матриц произвольных размеров с рациональными элементами.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0004 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",изоморфизм,ISOMORPH,elibrary_11162670_72358071.txt
"Мы наконец определяем группу A = d(A∗) с помощью множества порождающих элементов: A = ⟨f(x0 1)x1 + . . . + f(x0 n)xn | f ∈HomˆZ(M, Q/Z)⟩. Так как группа A/F является конечной прямой суммой локально циклических групп, то из леммы 2 следует, что HomˆZ(Hom(A/F, Q/Z), Q/Z) ∼= A/F. (5.10) ˆZ-модуль M = Hom(A/F, Q/Z) = ˆA∗содержит элементы x0 1, . . . , x0 n, которые одновременно являются гомоморфизмами A/F →Q/Z, определёнными в (5.9), и образами базисных элементов x∗ 1, . . . , x∗ n ∈A∗при Z-адическом пополнении A∗→ˆA∗. ˆZ-модульный гомоморфизм f : M →Q/Z переходит при изоморфизме (5.10) в элемент f(x0 1)x1 + . . . + f(x0 n)xn + F ∈A/F. Это показывает, что d d′(A) = A и d′ d(A∗) = A∗для двойственных групп A и A∗с двойственными базисами x1, . . . , xn ∈A и x∗ 1, . . . , x∗ n ∈A∗.","Мы наконец определяем group A = d(A∗) с помощью множества порождающих элементов: A = ⟨f(x0 1)x1 + . . . + f(x0 n)xn | f ∈HomˆZ(M, Q/Z)⟩. Так как group A/F is конечной прямой суммой локально циклических групп, then из леммы 2 следует, что HomˆZ(Hom(A/F, Q/Z), Q/Z) ∼= A/F. (5.10) ˆZ-module M = Hom(A/F, Q/Z) = ˆA∗содержит элементы x0 1, . . . , x0 n, которые одновременно являются гомоморфизмами A/F →Q/Z, определёнными в (5.9), и образами базисных элементов x∗ 1, . . . , x∗ n ∈A∗при Z-адическом пополнении A∗→ˆA∗. ˆZ-модульный homomorphism f : M →Q/Z переходит при изоморфизме (5.10) в элемент f(x0 1)x1 + . . . + f(x0 n)xn + F ∈A/F. Это показывает, что d d′(A) = A и d′ d(A∗) = A∗для двойственных групп A и A∗с двойственными базисами x1, . . . , xn ∈A и x∗ 1, . . . , x∗ n ∈A∗.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0005 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",гомоморфизм; группа; изоморфизм,ISOMORPH,elibrary_11162670_72358071.txt
"Пусть m — строго положительная d-разложимая F-значная мера на полной булевой алгебре B. Тогда существуют правильная подалгебра B0 в B и булевый изоморфизм ψ из ∇на B0 такие, что m(ψ(a)e) = am(e) для всех a ∈∇, e ∈B. ◁Пусть a ∈∇. Существует такое g ∈B, что m(g) = am(1B).","Пусть m — строго положительная d-разложимая F-значная мера на полной булевой алгебре B. Тогда существуют правильная подалгебра B0 в B и булевый isomorphism ψ из ∇на B0 такие, что m(ψ(a)e) = am(e) for all a ∈∇, e ∈B. ◁Пусть a ∈∇. there exists такое g ∈B, что m(g) = am(1B).","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0006 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; изоморфизм,ISOMORPH,elibrary_11606382_64427316.txt
"Разложимые меры со значениями в порядково полных векторных решетках 35 В случае ∇= {0, 1}, понятие ∇-непрерывности совпадает с известным определением непрерывности булевой алгебры. Следующие условия эквивалентны: (i) B является ∇-непрерывной; (ii) eB ̸= ∇e := {ae : a ∈∇} для любого 0 ̸= e ∈B. ◁(i) →(ii) : Так как B — ∇-непрерывная булева алгебра, то для каждого 0 ̸= e ∈B существует такое g ∈eB, g ̸= e, что z(g) = z(e). Предположим, что g = ae для некоторого a ∈∇.","Разложимые меры со значениями в порядково полных векторных решетках 35 В случае ∇= {0, 1}, понятие ∇-непрерывности совпадает с известным определением непрерывности булевой algebras. Следующие условия эквивалентны: (i) B is ∇-непрерывной; (ii) eB ̸= ∇e := {ae : a ∈∇} for every 0 ̸= e ∈B. ◁(i) →(ii) : Так как B — ∇-непрерывная булева algebra, then для каждого 0 ̸= e ∈B there exists такое g ∈eB, g ̸= e, что z(g) = z(e). Предположим, что g = ae для некоторого a ∈∇.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0007 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра,ISOMORPH,elibrary_11606382_64427316.txt
"База P(C ↓) (т. е. булева алгебра порядковых проекторов в C ↓) изоморфна B, поэтому считаем, допуская вольность, что эти булевы алгебры совпадают. В модели V(B) имеет место утверждение: поле C∧алгебраически замкнуто в C . В частности, если V(B) |= C∧̸= C , то V(B) |= « C — трансцендентное расширение поля C ∧».","База P(C ↓) (т. е. булева algebra порядковых проекторов в C ↓) is isomorphic B, поэтому считаем, допуская вольность, что эти булевы algebras совпадают. В модели V(B) has место утверждение: field C∧алгебраически замкнуто в C . В частности, if V(B) |= C∧̸= C , then V(B) |= « C — трансцендентное расширение fields C ∧».","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0008 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; изоморфизм; поле,ISOMORPH,elibrary_12940994_90179269.txt
"Тогда K-пространство πξ C ↓изоморфно C∞(Q), причем элемент πξ(1) переходит в функцию, тождественно равную единице на Q. Если f ∈C∞(Q) — образ элемента πξz0 при указанном изоморфизме, то приходим к соотношению λ0,ξ + λ1,ξf(q) + · · · + λn−1,ξf(q)n−1 = 0 (q ∈Q). В силу основной теоремы алгебры непрерывная функция f имеет не более n значений, следовательно, она ступенчата.","Тогда K-пространство πξ C ↓is isomorphic C∞(Q), причем элемент πξ(1) переходит в функцию, тождественно равную единице на Q. if f ∈C∞(Q) — образ элемента πξz0 при указанном изоморфизме, then приходим к соотношению λ0,ξ + λ1,ξf(q) + · · · + λn−1,ξf(q)n−1 = 0 (q ∈Q). В силу основной теоремы algebras непрерывная функция f has не более n значений, следовательно, она ступенчата.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0009 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; изоморфизм,ISOMORPH,elibrary_12940994_90179269.txt
"Основной результат Напомним еще несколько определений, необходимых для формулировки основного результата. Булеву σ-алгебру B называют σ-дистрибутивной, если для любой двойной последовательности (bn,m)n,m∈N в B выполнено условие _ n∈N ^ m∈N bn,m = ^ ϕ∈NN _ n∈N bn,ϕ(n). Другие эквивалентные определения имеются в книге [14].","Основной результат Напомним еще несколько определений, необходимых для формулировки основного результата. Булеву σ-алгебру B называют σ-дистрибутивной, if для любой двойной последовательности (bn,m)n,m∈N в B выполнено условие _ n∈N ^ m∈N bn,m = ^ ϕ∈NN _ n∈N bn,ϕ(n). Другие эквивалентные определения имеются в книге [14].","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0010 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра,ISOMORPH,elibrary_12940994_90179269.txt
"О мультипликативном представлении билинейных операторов 359 Пусть B — полная булева алгебра порядковых проекторов расширенного пространства Канторовича G. Тогда G изоморфен спуску R↓поля вещественных чисел R в булевозначной модели теории множеств V(B) [21, теорема 10.3.4]. На этом основании можно считать, что G = R↓.","О мультипликативном представлении билинейных операторов 359 Пусть B — полная булева algebra порядковых проекторов расширенного пространства Канторовича G. Тогда G изоморфен спуску R↓fields вещественных чисел R в булевозначной модели теории множеств V(B) [21, Theorem 10.3.4]. На этом основании можно считать, что G = R↓.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0011 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; изоморфизм; поле,ISOMORPH,elibrary_12945099_81362740.txt
"Эквивалентно, она является ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений vw + wv = −2⟨v, w⟩ для всех v, w ∈V . Если V = Rn с его обычным скалярным произведением, назовем его клиффордовой алгеброй Cliﬀ(n). Конкретно, это ассоциативная алгебра, свободно порожденная n антикоммутирующими квадратными корнями из −1.","Эквивалентно, она is ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений vw + wv = −2⟨v, w⟩ for all v, w ∈V . if V = Rn с его обычным скалярным произведением, назовем его клиффордовой алгеброй Cliﬀ(n). Конкретно, это ассоциативная algebra, свободно порожденная n антикоммутирующими квадратными корнями из −1.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0012 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; модуль,ISOMORPH,elibrary_13294250_28611886.txt
"Задав алгебру, мы будем свободно считать действительные числа элементами этой алгебры посредством отображения α 7→α1. Алгебра A является алгеброй с делением, если даны a, b ∈A с ab = 0, тогда либо a = 0, либо b = 0. Эквивалентно, A есть алгебра с делением, если операции левого и правого умножения на любой ненулевой элемент являются обратимыми.","Задав алгебру, мы будем свободно считать действительные числа элементами этой algebras посредством отображения α 7→α1. algebra A is алгеброй с делением, if даны a, b ∈A с ab = 0, тогда либо a = 0, либо b = 0. Эквивалентно, A есть algebra с делением, if операции левого и правого умножения на любой ненулевой элемент являются обратимыми.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0013 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра,ISOMORPH,elibrary_13294250_28611886.txt
"Октонионы пространство V с действительным скалярным произведением, клиффордова алгебра Cliﬀ(V ) является ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений v2 = −∥v∥2 для всех v ∈V . Эквивалентно, она является ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений vw + wv = −2⟨v, w⟩ для всех v, w ∈V . Если V = Rn с его обычным скалярным произведением, назовем его клиффордовой алгеброй Cliﬀ(n).","Октонионы пространство V с действительным скалярным произведением, клиффордова algebra Cliﬀ(V ) is ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений v2 = −∥v∥2 for all v ∈V . Эквивалентно, она is ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений vw + wv = −2⟨v, w⟩ for all v, w ∈V . if V = Rn с его обычным скалярным произведением, назовем его клиффордовой алгеброй Cliﬀ(n).","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0014 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; модуль,ISOMORPH,elibrary_13294250_28611886.txt
"Любой октонион e1, квадрат которого равен −1, порождает подалгебру O, изоморфную C. Если мы затем выберем любой октонион e2, квадрат которого равен −1 и который антикоммутирует с e1, элементы e1, e2 порождают подалгебру, изоморфную H. Наконец, если мы выберем октонион e3, квадрат которого равен −1 и который антикоммутирует с e1, e2 и e1e2, то элементы e1, e2, e3 порождают всю O.","Любой октонион e1, квадрат которого равен −1, порождает подалгебру O, изоморфную C. if мы затем выберем любой октонион e2, квадрат которого равен −1 и который антикоммутирует с e1, элементы e1, e2 порождают подалгебру, изоморфную H. Наконец, if мы выберем октонион e3, квадрат которого равен −1 и который антикоммутирует с e1, e2 и e1e2, then элементы e1, e2, e3 порождают всю O.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0015 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",изоморфизм,ISOMORPH,elibrary_13294250_28611886.txt
"Они называются спинорами – но мы предупреждаем читателя, что этот термин уже используется для обозначения многих незначительно различающихся разновидностей этого понятия. На самом деле, существует изоморфизм φ: Cliﬀ(n −1) →Cliﬀ0(n), заданный следующим образом: φ(ei) = eien, 1 ≤i ≤n −1, где {ei} – ортонормированный базис в Rn. Таким образом, спиноры в n измерениях – это то же самое, что и пиноры в n −1 измерениях!","Они называются спинорами – но мы предупреждаем читателя, что этот термин уже используется для обозначения многих незначительно различающихся разновидностей этого понятия. На самом деле, there exists isomorphism φ: Cliﬀ(n −1) →Cliﬀ0(n), заданный следующим образом: φ(ei) = eien, 1 ≤i ≤n −1, где {ei} – ортонормированный базис в Rn. Таким образом, спиноры в n измерениях – это then же самое, что и пиноры в n −1 измерениях!","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0016 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",изоморфизм,ISOMORPH,elibrary_13294250_28611886.txt
"Можно проверить, что это – гомоморфизм на, и его ядро состоит из матриц ±1. Таким образом, если мы определим PSL(2, K) = SL(2, K)/{±1}, то получим изоморфизмы PSL(2, R) ∼= SO0(2, 1) PSL(2, C) ∼= SO0(3, 1) PSL(2, H) ∼= SO0(6, 1) PSL(2, O) ∼= SO0(9, 1). Объединяя это вместе с нашими предыдущими рассуждениями, получим, что PSL(2, K) действует как конформные преобразования KP1.","Можно проверить, что это – homomorphism на, и его ядро состоит из матриц ±1. Таким образом, if мы определим PSL(2, K) = SL(2, K)/{±1}, then получим изоморфизмы PSL(2, R) ∼= SO0(2, 1) PSL(2, C) ∼= SO0(3, 1) PSL(2, H) ∼= SO0(6, 1) PSL(2, O) ∼= SO0(9, 1). Объединяя это вместе с нашими предыдущими рассуждениями, получим, что PSL(2, K) действует как конформные преобразования KP1.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0017 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",гомоморфизм; изоморфизм,ISOMORPH,elibrary_13294250_28611886.txt
